Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,AveraCoftwo,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
51040,Truffles,1,Bangalore,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore",77.61,12.93,"American, Burger, Cafe",800.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.7,Dark Green,Excellent,9667
51705,Toit,1,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.64,12.98,"Italian, American, Pizza",2000.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,4,4.8,Dark Green,Excellent,9587
308322,Hauz Khas Social,1,New Delhi,"9A & 12, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.19,28.55,"Continental, American, Asian, North Indian",1600.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.3,Green,Very Good,7931
20404,Peter Cat,1,Kolkata,"18A, Park Street, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35,22.55,"Continental, North Indian",1000.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,3,4.3,Green,Very Good,7574
56618,AB's  Absolute Barbecues,1,Bangalore,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",Marathahalli,"Marathahalli, Bangalore",77.7,12.95,"European, Mediterranean, North Indian",1400.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.6,Dark Green,Excellent,6907
20842,Barbeque Nation,1,Kolkata,"K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","Sector 5, Salt Lake","Sector 5, Salt Lake, Kolkata",88.43,22.57,"North Indian, Chinese",1600.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,5966
58882,Big Brewsky,1,Bangalore,"Behind MK Retail, Before WIPRO Corporate Office, Sarjapur Road, Bangalore",Sarjapur Road,"Sarjapur Road, Bangalore",77.68,12.91,"Finger Food, North Indian, Italian, Continental, Thai, South Indian",1800.00,Indian Rupees(Rs.),TRUE,TRUE,FALSE,3,4.5,Dark Green,Excellent,5705
94286,AB's  Absolute Barbecues,1,Hyderabad,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad",Jubilee Hills,"Jubilee Hills, Hyderabad",78.4,17.44,"European, Mediterranean, North Indian",1500.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,3,4.9,Dark Green,Excellent,5434
54162,The Black Pearl,1,Bangalore,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Koramangala 5th Block,"Koramangala 5th Block, Bangalore",77.62,12.93,"North Indian, European, Mediterranean",1400.00,Indian Rupees(Rs.),TRUE,FALSE,FALSE,3,4.1,Green,Very Good,5385
20870,BarBQ,1,Kolkata,"434755, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35,22.55,"Chinese, North Indian",900.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.2,Green,Very Good,5288
900,Saravana Bhavan,1,New Delhi,"P13, Connaught Circus, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22,28.63,South Indian,500.00,Indian Rupees(Rs.),FALSE,TRUE,FALSE,2,4.3,Green,Very Good,5172
35217,Joey's Pizza,1,Mumbai,"6 & 7, Upvan Building, Near Indian Oil Colony, DN Nagar, Azad Nagar, Mumbai",Azad Nagar,"Azad Nagar, Mumbai",72.83,19.13,Pizza,800.00,Indian Rupees(Rs.),FALSE,FALSE,FALSE,2,4,Green,Very Good,5145
